Título,Descripción,Enlace,Fecha de publicación
Arcadegeddon recibe su mayor actualización hasta la fecha,El contenido más potente desde el verano de 2021,https://uvejuegos.com/noticia/Arcadegeddon-recibe-su-mayor-actualizacion-hasta-la-fecha/48344,"Mon, 08 May 2023 21:18:52 +0200"
El evento Nintendo Live estará presente en la feria PAX West 2023,The Labor Day es una festividad de Estados Unidos que no nos afecta pero está bien conocer ese dato,https://uvejuegos.com/noticia/El-evento-Nintendo-Live-estara-presente-en-la-feria-PAX-West-2023/48345,"Mon, 08 May 2023 19:43:23 +0200"
"Analizamos Burning Shores, la expansión de Horizon Forbidden West","Te contamos todo lo que tienes que saber de Burning Shores, la expansión de Horizon Forbidden West en exclusiva para PlayStation 5: escala de mapa, nueva zona y contenido, trama...",https://uvejuegos.com/articulo/Analizamos-Burning-Shores-la-expansion-de-Horizon-Forbidden-West/1582,"Mon, 08 May 2023 06:55:51 +0200"
Hogwarts Legacy llega a Xbox One y PlayStation 4 con el acompañamiento musical de la cantante Dune Moss,¡Escucha la melodía sobre Isidora!,https://uvejuegos.com/noticia/Hogwarts-Legacy-llega-a-Xbox-One-y-PlayStation-4-con-el-acompanamiento-musical-de-la-cantante-Dune-Moss/48342,"Sun, 07 May 2023 20:07:09 +0200"
Mystic Clockwork Studio lanzará la campaña de financiación en Kickstarter de Exil,Se trata de un metroidvania exigente y precioso,https://uvejuegos.com/noticia/Mystic-Clockwork-Studio-lanzara-la-campana-de-financiacion-en-Kickstarter-de-Exil/48341,"Sun, 07 May 2023 04:21:06 +0200"
Marvel's Midnight Suns presenta a Tormenta pero cancela la versión de Switch,Las otras versiones Old-Gen siguen en marcha,https://uvejuegos.com/noticia/Marvels-Midnight-Suns-presenta-a-Tormenta-pero-cancela-la-version-de-Switch-/48327,"Sat, 06 May 2023 20:57:33 +0200"
"Análisis de
Dredge","Análisis de Dredge, una aventura de exploración marina y horror cósmico con dosis de pesca y muchísimo Lovecraft",https://uvejuegos.com/analisis/Dredge/Analisis-de-Dredge-una-aventura-de-exploracion-marina-y-horror-cosmico-con-dosis-de-pesca-y-muchisimo-Lovecraft/9322/69239,"Sat, 06 May 2023 20:05:44 +0200"
Meridiem Games distribuirá Paleo Pines en formato físico,Esta versión llegará a las consolas de Sony y Nintendo,https://uvejuegos.com/noticia/Meridiem-Games-distribuira-Paleo-Pines-en-formato-fisico-/48340,"Sat, 06 May 2023 15:48:25 +0200"
"The Wild Gentleman presenta RetroSpace, la unión perfecta entre Dead Space y Bioshock",En el espacio nadie puede escuchar la música setentera,https://uvejuegos.com/noticia/The-Wild-Gentleman-presenta-RetroSpace-la-union-perfecta-entre-Dead-Space-y-Bioshock/48339,"Sat, 06 May 2023 09:25:14 +0200"
LEGO Star Wars: La Saga Skywalker incorpora al desechado Luke Starkiller,"Este héroe nunca existió, aunque es el más antiguo de todos",https://uvejuegos.com/noticia/LEGO-Star-Wars-La-Saga-Skywalker-incorpora-al-desechado-Luke-Starkiller/48338,"Fri, 05 May 2023 23:02:56 +0200"
