Título,Descripción,Enlace,Fecha de publicación
"Little Nightmares, la saga sobre la gula de clase alta, vende 12 millones de copias",Tarsier Studios nos recuerda el incesante hambre de los adultos,https://uvejuegos.com/noticia/Little-Nightmares-la-saga-sobre-la-gula-de-clase-alta-vende-12-millones-de-copias/48337,"Fri, 05 May 2023 19:24:40 +0200"
"Así es Futuros Redimidos, la última gran expansión de Xenoblade Chronicles 3",La cuarta expansión es una nueva aventura y sirve de cierre a la trilogía Xenoblade Chronicles,https://uvejuegos.com/articulo/Asi-es-Futuros-Redimidos-la-ultima-gran-expansion-de-Xenoblade-Chronicles-3/1581,"Fri, 05 May 2023 15:16:37 +0200"
Planet of Lana anuncia su fecha de lanzamiento con un emotivo tráiler,Reconstruye el equilibrio natural,https://uvejuegos.com/noticia/Planet-of-Lana-anuncia-su-fecha-de-lanzamiento-con-un-emotivo-trailer/48336,"Fri, 05 May 2023 11:25:38 +0200"
Noticiero #47: Los conejos son inmortales,"Hablamos del fatal destino de la Alicia de American McGee, del Indie World de Nintendo, de los indies españoles y del bolsillo de Dalton Backer.",https://uvejuegos.com/articulo/Noticiero-47-Los-conejos-son-inmortales/1579,"Fri, 05 May 2023 08:01:08 +0200"
"LudoNarraCon 2023 regresa a Steam con más de 35 demos, descuentos y charlas de creadores","La quinta edición de este festival, dedicado a las aventuras gráficas, durará pocos días",https://uvejuegos.com/noticia/LudoNarraCon-2023-regresa-a-Steam-con-mas-de-35-demos-descuentos-y-charlas-de-creadores/48334,"Fri, 05 May 2023 05:17:00 +0200"
Team 17 traza la hoja de ruta para Dredge,Varias novedades arribarán a lo largo de este año,https://uvejuegos.com/noticia/Team-17-traza-la-hoja-de-ruta-para-Dredge/48333,"Thu, 04 May 2023 14:21:11 +0200"
"Avance de
After Us","Avance de After Us, impresiones jugables de una historia de contrastes",https://uvejuegos.com/avance/After-Us/Avance-de-After-Us-impresiones-jugables-de-una-historia-de-contrastes/4477/69651,"Thu, 04 May 2023 06:29:11 +0200"
Codemasters y Electronic Arts muestran el primer tráiler de F1 23,Conoce la fecha de lanzamiento y sus ediciones especiales,https://uvejuegos.com/noticia/Codemasters-y-Electronic-Arts-muestran-el-primer-trailer-de-F1-23/48332,"Thu, 04 May 2023 06:22:59 +0200"
Xbox Game Pass recibe cuatro nuevos videojuegos en mayo,El esperado Redfall también hace acto de presencia,https://uvejuegos.com/noticia/Xbox-Game-Pass-recibe-cuatro-nuevos-videojuegos-en-mayo/48331,"Thu, 04 May 2023 04:53:00 +0200"
Final Fantasy Pixel Remaster logra vender más de dos millones de copias,El pixel nunca muere,https://uvejuegos.com/noticia/Final-Fantasy-Pixel-Remaster-logra-vender-mas-de-dos-millones-de-copias/48330,"Thu, 04 May 2023 04:11:52 +0200"
